Month,Date,Year,Mumbai,Pune,Thane,Nagpur,Nashik
May,1,2020,7812,1316,1016,139,242
May,2,2020,8359,1339,1086,146,262
May,3,2020,8800,1396,1142,152,284
May,4,2020,9310,2018,1238,174,382
May,5,2020,10714,2087,1616,182,463
May,6,2020,10714,2087,1616,182,463
May,7,2020,11394,2129,1889,206,533
May,8,2020,12864,2257,2225,224,595
May,9,2020,12864,2257,2225,224,595
May,10,2020,13739,2679,2448,251,659
May,11,2020,14521,2789,2592,259,696
May,12,2020,14947,2397,2814,268,741
May,13,2020,15727,3161,3065,317,751
May,14,2020,16738,3314,3287,331,807
May,15,2020,17671,3481,3499,334,825
May,16,2020,18555,3647,3834,352,835
